timestamp_ms,action,buy_venue,sell_venue,buy_price,sell_price,qty,fee,pnl_net,obi_delta,p_execute,expected_edge_at_signal,adverse_selection_cost,fill_time_mid_a,fill_time_mid_b,signal_time_mid_a,signal_time_mid_b,status,reason,buy_latency_ms,sell_latency_ms,buy_slippage,sell_slippage,regime_vol,regime_spread,split
1709326256884,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.9268043691161053,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,38.58405085616664,79.53240142473598,0.0,0.0,low,tight,train
1709326256891,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-1.0711643931671784,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,41.00109339129314,58.47347926779372,0.0,0.0,low,tight,train
1709326256895,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-1.0987915408263302,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,41.29083413074455,35.01192230169588,0.0,0.0,low,tight,train
1709326256896,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.9637133264605813,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,48.5765001165937,42.65673717940997,0.0,0.0,low,tight,train
1709326256913,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.9241114650354658,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,43.6196667816457,46.61457933328836,0.0,0.0,low,tight,train
1709326256951,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.9139142801033404,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,31.18089857925133,49.24662526421634,0.0,0.0,low,tight,train
1709326256989,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.8543565822452317,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,48.22623204698258,44.264994135744956,0.0,0.0,low,tight,train
1709326257031,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.9942549401808665,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,73.86911892675542,55.560151230456974,0.0,0.0,low,tight,train
1709326257051,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.8678340271601197,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,33.74980142108038,43.690345729313705,0.0,0.0,low,tight,train
1709326257090,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.8678253307770012,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,72.99812707061784,52.70905523560092,0.0,0.0,low,tight,train
